Epoch 41 | Batch 20/100 | Loss 0.000608
Epoch 41 | Batch 30/100 | Loss 0.000948
Epoch 41 | Batch 40/100 | Loss 0.000803
Epoch 41 | Batch 50/100 | Loss 0.000739
Epoch 41 | Batch 60/100 | Loss 0.001664
Epoch 41 | Batch 70/100 | Loss 0.001553
Epoch 41 | Batch 80/100 | Loss 0.001371
Epoch 41 | Batch 90/100 | Loss 0.001236
100 Test Acc = 70.83% +- 1.36%
Epoch 42 | Batch 0/100 | Loss 0.000057
Epoch 42 | Batch 10/100 | Loss 0.000157
Epoch 42 | Batch 20/100 | Loss 0.000169
Epoch 42 | Batch 30/100 | Loss 0.000135
Epoch 42 | Batch 40/100 | Loss 0.000168
Epoch 42 | Batch 50/100 | Loss 0.000166
Epoch 42 | Batch 60/100 | Loss 0.000147
Epoch 42 | Batch 70/100 | Loss 0.000157
Epoch 42 | Batch 80/100 | Loss 0.000157
Epoch 42 | Batch 90/100 | Loss 0.000158
100 Test Acc = 71.16% +- 1.41%
Epoch 43 | Batch 0/100 | Loss 0.000124
Epoch 43 | Batch 10/100 | Loss 0.000223
Epoch 43 | Batch 20/100 | Loss 0.000154
Epoch 43 | Batch 30/100 | Loss 0.000140
Epoch 43 | Batch 40/100 | Loss 0.000136
Epoch 43 | Batch 50/100 | Loss 0.000197
Epoch 43 | Batch 60/100 | Loss 0.000181
Epoch 43 | Batch 70/100 | Loss 0.000163
Epoch 43 | Batch 80/100 | Loss 0.000152
Epoch 43 | Batch 90/100 | Loss 0.000140
100 Test Acc = 71.31% +- 1.27%
Epoch 44 | Batch 0/100 | Loss 0.000408
Epoch 44 | Batch 10/100 | Loss 0.000106
Epoch 44 | Batch 20/100 | Loss 0.000067
Epoch 44 | Batch 30/100 | Loss 0.000064
Epoch 44 | Batch 40/100 | Loss 0.000060
Epoch 44 | Batch 50/100 | Loss 0.000063
Epoch 44 | Batch 60/100 | Loss 0.000066
Epoch 44 | Batch 70/100 | Loss 0.000065
Epoch 44 | Batch 80/100 | Loss 0.000062
Epoch 44 | Batch 90/100 | Loss 0.000059
100 Test Acc = 70.70% +- 1.50%
Epoch 45 | Batch 0/100 | Loss 0.000073
Epoch 45 | Batch 10/100 | Loss 0.000128
Epoch 45 | Batch 20/100 | Loss 0.000102
Epoch 45 | Batch 30/100 | Loss 0.000084
Epoch 45 | Batch 40/100 | Loss 0.000093
Epoch 45 | Batch 50/100 | Loss 0.000085
Epoch 45 | Batch 60/100 | Loss 0.000079
Epoch 45 | Batch 70/100 | Loss 0.000077
Epoch 45 | Batch 80/100 | Loss 0.000076
Epoch 45 | Batch 90/100 | Loss 0.000071
100 Test Acc = 69.19% +- 1.34%
Epoch 46 | Batch 0/100 | Loss 0.000001
Epoch 46 | Batch 10/100 | Loss 0.000042
Epoch 46 | Batch 20/100 | Loss 0.000044
Epoch 46 | Batch 30/100 | Loss 0.000054
Epoch 46 | Batch 40/100 | Loss 0.000051
Epoch 46 | Batch 50/100 | Loss 0.000049
Epoch 46 | Batch 60/100 | Loss 0.000048
Epoch 46 | Batch 70/100 | Loss 0.000054
Epoch 46 | Batch 80/100 | Loss 0.000050
Epoch 46 | Batch 90/100 | Loss 0.000046
100 Test Acc = 70.16% +- 1.45%
Epoch 47 | Batch 0/100 | Loss 0.000011
Epoch 47 | Batch 10/100 | Loss 0.000019
Epoch 47 | Batch 20/100 | Loss 0.000059
Epoch 47 | Batch 30/100 | Loss 0.000062
Epoch 47 | Batch 40/100 | Loss 0.000062
Epoch 47 | Batch 50/100 | Loss 0.000082
Epoch 47 | Batch 60/100 | Loss 0.000075
Epoch 47 | Batch 70/100 | Loss 0.000076
Epoch 47 | Batch 80/100 | Loss 0.000083
Epoch 47 | Batch 90/100 | Loss 0.000080
100 Test Acc = 70.71% +- 1.49%
Epoch 48 | Batch 0/100 | Loss 0.000008
Epoch 48 | Batch 10/100 | Loss 0.000017
Epoch 48 | Batch 20/100 | Loss 0.000019
Epoch 48 | Batch 30/100 | Loss 0.000025
Epoch 48 | Batch 40/100 | Loss 0.000028
Epoch 48 | Batch 50/100 | Loss 0.000037
Epoch 48 | Batch 60/100 | Loss 0.000034
Epoch 48 | Batch 70/100 | Loss 0.000035
Epoch 48 | Batch 80/100 | Loss 0.000036
Epoch 48 | Batch 90/100 | Loss 0.000035
100 Test Acc = 69.91% +- 1.68%
Epoch 49 | Batch 0/100 | Loss 0.000022
Epoch 49 | Batch 10/100 | Loss 0.000029
Epoch 49 | Batch 20/100 | Loss 0.000198
Epoch 49 | Batch 30/100 | Loss 0.000169
Epoch 49 | Batch 40/100 | Loss 0.000134
Epoch 49 | Batch 50/100 | Loss 0.000113
Epoch 49 | Batch 60/100 | Loss 0.000100
Epoch 49 | Batch 70/100 | Loss 0.000101
